group,x,bin,isknot,mid,fit,cohort
ARG,25.999999999999975,4,0,0,45.76891627971628,1950s
ARG,26.333333333333307,4,0,0,46.006948328746134,1950s
ARG,26.66666666666664,4,0,0,46.244980377775974,1950s
ARG,26.99999999999997,4,0,0,46.48301242680582,1950s
ARG,27.333333333333304,4,0,0,46.72104447583567,1950s
ARG,27.666666666666636,4,0,0,46.95907652486551,1950s
ARG,27.999999999999968,4,0,0,47.197108573895356,1950s
ARG,28.3333333333333,4,0,0,47.4351406229252,1950s
ARG,28.666666666666632,4,0,0,47.673172671955044,1950s
ARG,28.999999999999964,4,1,0,47.91120472098489,1950s
ARG,29.380952380952344,5,0,0,48.18324134844757,1950s
ARG,29.761904761904724,5,0,0,48.45527797591025,1950s
ARG,30.142857142857103,5,0,0,48.72731460337293,1950s
ARG,30.523809523809483,5,0,0,48.999351230835615,1950s
ARG,30.904761904761862,5,0,0,49.2713878582983,1950s
ARG,31.285714285714242,5,0,0,49.54342448576097,1950s
ARG,31.66666666666662,5,0,0,49.81546111322365,1950s
ARG,32.047619047619,5,0,0,50.08749774068633,1950s
ARG,32.42857142857138,5,0,0,50.35953436814901,1950s
ARG,32.80952380952376,5,0,1,50.631570995611696,1950s
ARG,33.19047619047614,5,0,0,50.90360762307438,1950s
ARG,33.57142857142852,5,0,0,51.175644250537054,1950s
ARG,33.9523809523809,5,0,0,51.44768087799973,1950s
ARG,34.33333333333328,5,0,0,51.71971750546241,1950s
ARG,34.71428571428566,5,0,0,51.991754132925095,1950s
ARG,35.09523809523804,5,0,0,52.26379076038778,1950s
ARG,35.47619047619042,5,0,0,52.53582738785046,1950s
ARG,35.8571428571428,5,0,0,52.807864015313136,1950s
ARG,36.23809523809518,5,0,0,53.07990064277581,1950s
ARG,36.619047619047556,5,0,0,53.351937270238494,1950s
ARG,36.999999999999936,5,1,0,53.62397389770118,1950s
ARG,37.33333333333327,6,0,0,53.862005946731024,1950s
ARG,37.66666666666661,6,0,0,54.10003799576087,1950s
ARG,37.99999999999994,6,0,0,54.33807004479072,1950s
ARG,38.33333333333328,6,0,0,54.576102093820566,1950s
ARG,38.666666666666615,6,0,0,54.81413414285041,1950s
ARG,38.99999999999995,6,0,0,55.05216619188026,1950s
ARG,39.333333333333286,6,0,0,55.290198240910115,1950s
ARG,39.66666666666662,6,0,0,55.528230289939955,1950s
ARG,39.99999999999996,6,0,0,55.76626233896981,1950s
ARG,40.33333333333329,6,0,1,56.00429438799965,1950s
ARG,40.66666666666663,6,0,0,56.242326437029504,1950s
ARG,40.999999999999964,6,0,0,56.480358486059345,1950s
ARG,41.3333333333333,6,0,0,56.7183905350892,1950s
ARG,41.666666666666636,6,0,0,56.956422584119046,1950s
ARG,41.99999999999997,6,0,0,57.194454633148894,1950s
ARG,42.33333333333331,6,0,0,57.43248668217874,1950s
ARG,42.66666666666664,6,0,0,57.67051873120859,1950s
ARG,42.99999999999998,6,0,0,57.908550780238436,1950s
ARG,43.333333333333314,6,0,0,58.14658282926828,1950s
ARG,43.66666666666665,6,0,0,58.38461487829813,1950s
ARG,43.999999999999986,6,1,0,58.62264692732798,1950s
ARG,44.33333333333332,7,0,0,58.86067897635783,1950s
ARG,44.66666666666666,7,0,0,59.09871102538767,1950s
ARG,44.99999999999999,7,0,0,59.33674307441752,1950s
ARG,45.33333333333333,7,0,0,59.57477512344737,1950s
ARG,45.666666666666664,7,0,0,59.81280717247722,1950s
ARG,46,7,0,0,60.05083922150707,1950s
ARG,46.333333333333336,7,0,0,60.288871270536916,1950s
ARG,46.66666666666667,7,0,0,60.52690331956676,1950s
ARG,47.00000000000001,7,0,0,60.76493536859661,1950s
ARG,47.33333333333334,7,0,1,61.00296741762646,1950s
ARG,47.66666666666668,7,0,0,61.240999466656305,1950s
ARG,48.000000000000014,7,0,0,61.47903151568615,1950s
ARG,48.33333333333335,7,0,0,61.717063564716,1950s
ARG,48.666666666666686,7,0,0,61.95509561374585,1950s
ARG,49.00000000000002,7,0,0,62.193127662775694,1950s
ARG,49.33333333333336,7,0,0,62.43115971180554,1950s
ARG,49.66666666666669,7,0,0,62.66919176083539,1950s
ARG,50.00000000000003,7,0,0,62.907223809865236,1950s
ARG,50.333333333333364,7,0,0,63.145255858895084,1950s
ARG,50.6666666666667,7,0,0,63.38328790792493,1950s
ARG,51.000000000000036,7,1,0,63.62131995695478,1950s
ARG,51.33333333333337,8,0,0,63.85935200598463,1950s
ARG,51.66666666666671,8,0,0,64.09738405501449,1950s
ARG,52.00000000000004,8,0,0,64.33541610404433,1950s
